MM74C00,Up,Down
2.88856,0.12219,0.12219
2.89345,0.12219,0.117302
2.89834,0.117302,0.117302
2.90323,0.112414,0.112414
2.90811,0.112414,0.107527
2.913,0.107527,0.107527
2.91789,0.102639,0.102639
2.92278,0.102639,0.102639
2.92766,0.0977517,0.0977517
2.93255,0.0977517,0.0977517
2.93744,0.0928641,0.0928641
2.94233,0.0928641,0.0879765
2.94721,0.0879765,0.0879765
2.9521,0.0879765,0.083089
2.95699,0.083089,0.083089
2.96188,0.083089,0.0782014
2.96676,0.0782014,0.0782014
2.97165,0.0733138,0.0733138
2.97654,0.0733138,0.0733138
2.98143,0.0684262,0.0733138
2.98631,0.0684262,0.0684262
2.9912,0.0684262,0.0684262
2.99609,0.0635386,0.0635386
3.00098,0.0635386,0.0635386
3.00587,0.058651,0.058651
3.01075,0.058651,0.058651
3.01564,0.058651,0.058651
3.02053,0.0537634,0.0537634
3.02542,0.0537634,0.0537634
3.0303,0.0488759,0.0488759
3.03519,0.0488759,0.0488759
3.04008,0.0488759,0.0488759
3.04497,0.0439883,0.0439883
3.04985,0.0439883,0.0439883
3.05474,0.0439883,0.0439883
3.05963,0.0391007,0.0391007
3.06452,0.0391007,0.0391007
3.0694,0.0391007,0.0391007
3.07429,0.0342131,0.0391007
3.07918,0.0342131,0.0342131
3.08407,0.0342131,0.0342131
3.08895,0.0342131,0.0342131
3.09384,0.0293255,0.0293255
3.09873,0.0293255,0.0293255
3.10362,0.0293255,0.0293255
3.1085,0.0293255,0.0244379
3.11339,0.0244379,0.0244379
3.11828,0.0244379,0.0244379
3.12317,0.0244379,0.0244379
3.12805,0.0244379,0.0195503
3.13294,0.0195503,0.0195503
3.13783,0.0195503,0.0195503
3.14272,0.0195503,0.0195503
3.14761,0.0195503,0.0195503
3.15249,0.0146628,0.0146628
3.15738,0.0146628,0.0146628
3.16227,0.0146628,0.0146628
3.16716,0.0146628,0.0146628
3.17204,0.0146628,0.0146628
3.17693,0.00977517,0.00977517
3.18182,0.00977517,0.00977517
3.18671,0.00977517,0.00977517
3.19159,0.00977517,0.00977517
3.19648,0.00977517,0.00977517
3.20137,0.00977517,0.00488759
3.20626,0.00977517,0.00488759
3.21114,0.00488759,0.00488759
3.21603,0.00488759,0.00488759
3.22092,0.00488759,0.00488759
3.22581,0.00488759,0.00488759
3.23069,0.00488759,0.00488759
3.23558,0.00488759,0
3.24047,0,0
3.24536,0,0
3.25024,0,0
3.25513,0,0
3.26002,0,0
3.26491,0,0
3.26979,0,0
3.27468,0,0
3.27957,0,0
3.28446,0,0
3.28935,0,0
3.29423,0,0
3.29912,0,0
3.30401,0,0
3.3089,0,0
3.31378,0,0
3.31867,0,0
3.32356,0,0
3.32845,0,0
3.33333,0,0
3.33822,0,0
3.34311,0,0
3.348,0,0
3.35288,0,0
3.35777,0,0
3.36266,0,0
3.36755,0,0
3.37243,0,0
3.37732,0,0
3.38221,0,0
3.3871,0,0
3.39198,0,0
3.39687,0,0
3.40176,0,0
3.40665,0,0
3.41153,0,0
3.41642,0,0
3.42131,0,0
3.4262,0,0
3.43109,0,0
3.43597,0,0
3.44086,0,0
3.44575,0,0
3.45064,0,0
3.45552,0,0
3.46041,0,0
3.4653,0,0
3.47019,0,0
3.47507,0,0
3.47996,0,0
3.48485,0,0
3.48974,0,0
3.49462,0,0
3.49951,0,0
3.5044,0,0
3.50929,0,0
3.51417,0,0
3.51906,0,0
3.52395,0,0
3.52884,0,0
3.53372,0,0
3.53861,0,0
3.5435,0,0
3.54839,0,0
3.55327,0,0
3.55816,0,0
3.56305,0,0
3.56794,0,0
3.57283,0,0
3.57771,0,0
3.5826,0,0
3.58749,0,0
3.59238,0,0
3.59726,0,0
3.60215,0,0
3.60704,0,0
3.61193,0,0
3.61681,0,0
3.6217,0,0
3.62659,0,0
3.63148,0,0
3.63636,0,0
3.64125,0,0
3.64614,0,0
3.65103,0,0
3.65591,0,0
3.6608,0,0
3.66569,0,0
3.67058,0,0
3.67546,0,0
3.68035,0,0
3.68524,0,0
3.69013,0,0
3.69501,0,0
3.6999,0,0
3.70479,0,0
3.70968,0,0
3.71457,0,0
3.71945,0,0
3.72434,0,0
3.72923,0,0
3.73412,0,0
3.739,0,0
3.74389,0,0
3.74878,0,0
3.75367,0,0
3.75855,0,0
3.76344,0,0
3.76833,0,0
3.77322,0,0
3.7781,0,0
3.78299,0,0
3.78788,0,0
3.79277,0,0
3.79765,0,0
3.80254,0,0
3.80743,0,0
3.81232,0,0
3.8172,0,0
3.82209,0,0
3.82698,0,0
3.83187,0,0
3.83675,0,0
3.84164,0,0
3.84653,0,0
3.85142,0,0
3.8563,0,0
3.86119,0,0
3.86608,0,0
3.87097,0,0
3.87586,0,0
3.88074,0,0
3.88563,0,0
3.89052,0,0
3.89541,0,0
3.90029,0,0
3.90518,0,0
3.91007,0,0
3.91496,0,0
3.91984,0,0
3.92473,0,0
3.92962,0,0
3.93451,0,0
3.93939,0,0
3.94428,0,0
3.94917,0,0
3.95406,0,0
3.95894,0,0
3.96383,0,0
3.96872,0,0
3.97361,0,0
3.97849,0,0
3.98338,0,0
3.98827,0,0
3.99316,0,0
3.99804,0,0
4.00293,0,0
4.00782,0,0
4.01271,0,0
4.0176,0,0
4.02248,0,0
4.02737,0,0
4.03226,0,0
4.03715,0,0
4.04203,0,0
4.04692,0,0
4.05181,0,0
4.0567,0,0
4.06158,0,0
4.06647,0,0
4.07136,0,0
4.07625,0,0
4.08113,0,0
4.08602,0,0
4.09091,0,0
4.0958,0,0
4.10068,0,0
4.10557,0,0
4.11046,0,0
4.11535,0,0
4.12023,0,0
4.12512,0,0
4.13001,0,0
4.1349,0,0
4.13978,0,0
4.14467,0,0
4.14956,0,0
4.15445,0,0
4.15934,0,0
4.16422,0,0
4.16911,0,0
4.174,0,0
4.17889,0,0
4.18377,0,0
4.18866,0,0
4.19355,0,0
4.19844,0,0
4.20332,0,0
4.20821,0,0
4.2131,0,0
4.21799,0,0
4.22287,0,0
4.22776,0,0
4.23265,0,0
4.23754,0,0
4.24242,0,0
4.24731,0,0
4.2522,0,0
4.25709,0,0
4.26197,0,0
4.26686,0,0
4.27175,0,0
4.27664,0,0
4.28152,0,0
4.28641,0,0
4.2913,0,0
4.29619,0,0
4.30108,0,0
4.30596,0,0
4.31085,0,0
4.31574,0,0
4.32063,0,0
4.32551,0,0
4.3304,0,0
4.33529,0,0
4.34018,0,0
4.34506,0,0
4.34995,0,0
4.35484,0,0
4.35973,0,0
4.36461,0,0
4.3695,0,0
4.37439,0,0
4.37928,0,0
4.38416,0,0
4.38905,0,0
4.39394,0,0
4.39883,0,0
4.40371,0,0
4.4086,0,0
4.41349,0,0
4.41838,0,0
4.42326,0,0
4.42815,0,0
4.43304,0,0
4.43793,0,0
4.44282,0,0
4.4477,0,0
4.45259,0,0
4.45748,0,0
4.46237,0,0
4.46725,0,0
4.47214,0,0
4.47703,0,0
4.48192,0,0
4.4868,0,0
4.49169,0,0
4.49658,0,0
4.50147,0,0
4.50635,0,0
4.51124,0,0
4.51613,0,0
4.52102,0,0
4.5259,0,0
4.53079,0,0
4.53568,0,0
4.54057,0,0
4.54545,0,0
4.55034,0,0
4.55523,0,0
4.56012,0,0
4.565,0,0
4.56989,0,0
4.57478,0,0
4.57967,0,0
4.58456,0,0
4.58944,0,0
4.59433,0,0
4.59922,0,0
4.60411,0,0
4.60899,0,0
4.61388,0,0
4.61877,0,0
4.62366,0,0
4.62854,0,0
4.63343,0,0
4.63832,0,0
4.64321,0,0
