K155LA3,Up,Down
3.04497,0.0537634,0.0488759
3.04985,0.0537634,0.0537634
3.05474,0.0537634,0.0488759
3.05963,0.0537634,0.0488759
3.06452,0.0537634,0.0488759
3.0694,0.0537634,0.0537634
3.07429,0.0537634,0.0488759
3.07918,0.0537634,0.0488759
3.08407,0.0537634,0.0488759
3.08895,0.0537634,0.0537634
3.09384,0.0537634,0.0488759
3.09873,0.0537634,0.0537634
3.10362,0.0537634,0.0537634
3.1085,0.0488759,0.0488759
3.11339,0.0537634,0.0488759
3.11828,0.0537634,0.0488759
3.12317,0.0537634,0.0488759
3.12805,0.0488759,0.0488759
3.13294,0.0537634,0.0488759
3.13783,0.0537634,0.0488759
3.14272,0.0537634,0.0537634
3.14761,0.0537634,0.0537634
3.15249,0.0537634,0.0488759
3.15738,0.0537634,0.0488759
3.16227,0.0537634,0.0488759
3.16716,0.0537634,0.0537634
3.17204,0.0537634,0.0488759
3.17693,0.0537634,0.0488759
3.18182,0.0537634,0.0537634
3.18671,0.0488759,0.0488759
3.19159,0.0537634,0.0537634
3.19648,0.0537634,0.0537634
3.20137,0.0537634,0.0537634
3.20626,0.0537634,0.0488759
3.21114,0.0537634,0.0488759
3.21603,0.0537634,0.0537634
3.22092,0.0537634,0.0488759
3.22581,0.0537634,0.0537634
3.23069,0.0537634,0.0488759
3.23558,0.0537634,0.0488759
3.24047,0.0537634,0.0537634
3.24536,0.0537634,0.0537634
3.25024,0.0537634,0.0488759
3.25513,0.0537634,0.0488759
3.26002,0.0537634,0.0488759
3.26491,0.0537634,0.0488759
3.26979,0.0488759,0.0537634
3.27468,0.0537634,0.0488759
3.27957,0.0537634,0.0488759
3.28446,0.0537634,0.0488759
3.28935,0.0537634,0.0488759
3.29423,0.0537634,0.0488759
3.29912,0.0537634,0.0488759
3.30401,0.0537634,0.0488759
3.3089,0.0537634,0.0488759
3.31378,0.0537634,0.0488759
3.31867,0.0537634,0.0537634
3.32356,0.0537634,0.0488759
3.32845,0.0488759,0.0537634
3.33333,0.0537634,0.0488759
3.33822,0.0537634,0.0488759
3.34311,0.0537634,0.0488759
3.348,0.0537634,0.0488759
3.35288,0.0537634,0.0488759
3.35777,0.0537634,0.0488759
3.36266,0.0537634,0.0537634
3.36755,0.0537634,0.0488759
3.37243,0.0537634,0.0488759
3.37732,0.0537634,0.0488759
3.38221,0.0537634,0.0488759
3.3871,0.0537634,0.0537634
3.39198,0.0537634,0.0488759
3.39687,0.0488759,0.0537634
3.40176,0.0537634,0.0488759
3.40665,0.0537634,0.0488759
3.41153,0.0537634,0.0488759
3.41642,0.0537634,0.0488759
3.42131,0.0537634,0.0488759
3.4262,0.0537634,0.0488759
3.43109,0.0537634,0.0488759
3.43597,0.0537634,0.0488759
3.44086,0.0537634,0.0488759
3.44575,0.0537634,0.0488759
3.45064,0.0537634,0.0488759
3.45552,0.0537634,0.0488759
3.46041,0.0537634,0.0488759
3.4653,0.0537634,0.0488759
3.47019,0.0537634,0.0488759
3.47507,0.0537634,0.0488759
3.47996,0.0488759,0.0488759
3.48485,0.0537634,0.0537634
3.48974,0.0488759,0.0488759
3.49462,0.0537634,0.0488759
3.49951,0.0537634,0.0488759
3.5044,0.0537634,0.0488759
3.50929,0.0488759,0.0488759
3.51417,0.0537634,0.0537634
3.51906,0.0537634,0.0488759
3.52395,0.0537634,0.0537634
3.52884,0.0537634,0.0537634
3.53372,0.0488759,0.0488759
3.53861,0.0488759,0.0537634
3.5435,0.0537634,0.0537634
3.54839,0.0537634,0.0488759
3.55327,0.0537634,0.0488759
3.55816,0.0537634,0.0488759
3.56305,0.0537634,0.0488759
3.56794,0.0488759,0.0537634
3.57283,0.0537634,0.0488759
3.57771,0.0488759,0.0488759
3.5826,0.0537634,0.0488759
3.58749,0.0537634,0.0488759
3.59238,0.0537634,0.0488759
3.59726,0.0537634,0.0488759
3.60215,0.0537634,0.0488759
3.60704,0.0537634,0.0488759
3.61193,0.0537634,0.0488759
3.61681,0.0537634,0.0488759
3.6217,0.0537634,0.0488759
3.62659,0.0537634,0.0488759
3.63148,0.0537634,0.0488759
3.63636,0.0537634,0.0537634
3.64125,0.0537634,0.0537634
3.64614,0.0537634,0.0537634
3.65103,0.0537634,0.0488759
3.65591,0.0488759,0.0488759
3.6608,0.0537634,0.0488759
3.66569,0.0537634,0.0488759
3.67058,0.0488759,0.0488759
3.67546,0.0537634,0.0488759
3.68035,0.0537634,0.0488759
3.68524,0.0537634,0.0488759
3.69013,0.0537634,0.0488759
3.69501,0.0537634,0.0488759
3.6999,0.0537634,0.0488759
3.70479,0.0537634,0.0488759
3.70968,0.0537634,0.0537634
3.71457,0.0537634,0.0488759
3.71945,0.0488759,0.0488759
3.72434,0.0537634,0.0488759
3.72923,0.0537634,0.0488759
3.73412,0.0488759,0.0488759
3.739,0.0537634,0.0488759
3.74389,0.0537634,0.0537634
3.74878,0.0537634,0.0488759
3.75367,0.0537634,0.0488759
3.75855,0.0537634,0.0488759
3.76344,0.0537634,0.0488759
3.76833,0.0537634,0.0488759
3.77322,0.0488759,0.0488759
3.7781,0.0537634,0.0488759
3.78299,0.0537634,0.0488759
3.78788,0.0537634,0.0488759
3.79277,0.0537634,0.0488759
3.79765,0.0537634,0.0488759
3.80254,0.0537634,0.0488759
3.80743,0.0537634,0.0488759
3.81232,0.0537634,0.0488759
3.8172,0.0537634,0.0537634
3.82209,0.0537634,0.0537634
3.82698,0.0488759,0.0488759
3.83187,0.0488759,0.0488759
3.83675,0.0537634,0.0488759
3.84164,0.0537634,0.0488759
3.84653,0.0488759,0.0488759
3.85142,0.0537634,0.0537634
3.8563,0.0537634,0.0488759
3.86119,0.0488759,0.0537634
3.86608,0.0537634,0.0488759
3.87097,0.0537634,0.0488759
3.87586,0.0488759,0.0488759
3.88074,0.0537634,0.0488759
3.88563,0.0537634,0.0488759
3.89052,0.0488759,0.0488759
3.89541,0.0537634,0.0488759
3.90029,0.0488759,0.0488759
3.90518,0.0537634,0.0488759
3.91007,0.0537634,0.0488759
3.91496,0.0537634,0.0488759
